City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Baykit,RU,2019-11-30 02:00:48,61.68,96.39,-20.51,94,5,4.0
149,Broken Hill,AU,2019-11-30 02:00:03,-31.97,141.45,64.4,36,77,21.92
150,Hofn,IS,2019-11-30 02:00:48,64.25,-15.21,37.8,65,27,1.32
151,Merauke,ID,2019-11-30 02:00:48,-8.49,140.4,88.21,59,100,10.49
152,Jijiga,ET,2019-11-30 02:00:48,9.35,42.8,51.96,48,46,10.56
153,Tirano,IT,2019-11-30 02:00:49,46.22,10.17,41.0,92,90,2.24
154,Marmashen,AM,2019-11-30 02:00:49,40.84,43.78,33.8,92,90,10.49
155,Misratah,LY,2019-11-30 02:00:49,32.38,15.09,65.86,69,45,7.14
156,Aransas Pass,US,2019-11-30 02:00:49,27.91,-97.15,75.2,100,1,13.87
157,Fortuna,US,2019-11-30 02:00:50,40.6,-124.16,42.8,81,40,3.13
158,Tiksi,RU,2019-11-30 02:00:50,71.64,128.87,-15.74,99,100,4.09
159,Butaritari,KI,2019-11-30 02:00:50,3.07,172.79,84.09,66,0,6.55
160,Oranjemund,ZA,2019-11-30 02:00:50,-28.55,16.43,55.44,97,28,2.62
161,Puerto El Triunfo,SV,2019-11-30 02:00:51,13.27,-88.55,78.8,88,20,1.12
162,Bhatapara,IN,2019-11-30 02:00:51,21.77,81.81,71.38,56,0,3.96
163,Provideniya,RU,2019-11-30 02:00:51,64.42,-173.23,21.34,82,100,28.48
164,Tsumeb,NA,2019-11-30 02:00:51,-19.25,17.72,72.7,53,30,3.74
165,Chipinge,ZW,2019-11-30 02:00:52,-20.19,32.62,62.87,40,0,4.94
166,Severo-Kurilsk,RU,2019-11-30 02:00:53,50.68,156.12,22.59,80,90,23.24
167,Usinsk,RU,2019-11-30 02:00:53,66.0,57.56,34.25,98,100,18.66
168,Lethem,GY,2019-11-30 02:00:53,3.38,-59.8,80.58,74,100,7.72
169,Canutama,BR,2019-11-30 02:00:53,-6.53,-64.38,73.65,79,39,1.9
170,Cape Town,ZA,2019-11-30 01:57:38,-33.93,18.42,64.4,68,75,3.36
171,Katsuura,JP,2019-11-30 02:00:54,33.93,134.5,57.99,53,40,11.41
172,Itarema,BR,2019-11-30 02:00:54,-2.92,-39.92,76.53,83,97,8.37
173,Hithadhoo,MV,2019-11-30 02:00:55,-0.6,73.08,80.24,74,100,5.73
174,Qaqortoq,GL,2019-11-30 02:00:55,60.72,-46.03,30.2,39,100,1.12
175,Bonoua,CI,2019-11-30 02:00:55,5.27,-3.6,84.2,79,20,6.93
176,Sur,OM,2019-11-30 02:00:55,22.57,59.53,67.95,46,0,3.27
177,Westport,US,2019-11-30 02:00:55,41.14,-73.36,37.4,59,1,11.41
178,Pangai,TO,2019-11-30 02:00:56,-19.8,-174.35,80.6,65,75,10.29
179,San Patricio,PY,2019-11-30 02:00:56,-26.98,-56.83,77.63,65,0,6.17
180,Mabaruma,GY,2019-11-30 02:00:56,8.2,-59.78,73.53,98,100,1.34
181,Kushima,JP,2019-11-30 02:00:57,31.5,131.29,55.4,54,20,8.05
182,Nanticoke,US,2019-11-30 02:00:57,41.21,-76.0,33.01,79,90,9.17
183,Kavaratti,IN,2019-11-30 02:00:38,10.57,72.64,84.27,73,99,9.71
184,La Ronge,CA,2019-11-30 02:00:57,55.1,-105.3,14.0,85,90,2.26
185,Lata,IN,2019-11-30 02:00:57,30.78,78.62,19.38,28,0,6.71
186,Vestmannaeyjar,IS,2019-11-30 02:00:58,63.44,-20.27,35.8,78,11,5.35
187,Udachnyy,RU,2019-11-30 02:00:58,66.42,112.4,-7.6,83,90,6.71
188,Anadyr,RU,2019-11-30 02:00:58,64.73,177.51,28.4,92,90,46.98
189,Souillac,FR,2019-11-30 02:00:58,45.6,-0.6,45.0,100,90,8.05
